Model,Variable,Coefficient,p_value
pretrained,const,-0.6431871260814055,0.009588145749050273
pretrained,luminance_mean,0.7735413824997156,0.0002843854640771776
pretrained,blur,0.03388067136315683,0.925242336034966
pretrained,density,-0.34892024193709886,0.31492103605608956
pretrained,presence_mosh_pit,-1.2346152029196027,0.25431195865412537
pretrained,presence_hands_raised,-1.6231749356781118,0.018929030773191996
scratch,const,-6.628018335530433,3.800641556991906e-13
scratch,luminance_mean,0.1919075146154665,0.7132570871671948
scratch,blur,-6.02421521452009,0.000814159631137692
scratch,density,1.2023660934305678,0.051943491999948244
scratch,presence_mosh_pit,-3.9960443941812693,5.3253707434956e-05
scratch,presence_hands_raised,0.3537754804385091,0.7703934450331941
