Model,Variable,Coefficient,p_value
pretrained,const,0.3738349977684518,5.774672344986812e-10
pretrained,luminance_mean,0.12633063165524921,0.006844353941584901
pretrained,blur,0.030126893160243497,0.6091953976000696
pretrained,density,-0.07531662103535794,0.19236689551929415
pretrained,occupied_ratio,-0.0036722825694218723,0.940186540402468
pretrained,presence_mosh_pit,-0.2528954678254961,0.10005898146831917
pretrained,presence_hands_raised,-0.2785164023301871,0.008453639326340683
pretrained,density_luminance_interaction,-0.1113578854778256,0.2436404965375484
scratch,const,0.014662461113072746,0.17800477823314032
scratch,luminance_mean,0.005499915344018842,0.5658461707705847
scratch,blur,-0.00993628027886461,0.42495870965160093
scratch,density,0.0024005894326254522,0.8428501973987103
scratch,occupied_ratio,-0.0007295290052270982,0.9436808680773145
scratch,presence_mosh_pit,-0.0077511587092089496,0.8091908529306996
scratch,presence_hands_raised,0.008451979484793412,0.6969782195633453
scratch,density_luminance_interaction,0.010548896473175697,0.5990636177128572
