Model,Class,AP50-95,AP50,Precision,Recall
pretrained,amp,0.2369533539164324,0.5000629449887406,0.5499744764281591,0.5079365079365079
pretrained,guitar,0.38220513284351076,0.7455829860068809,0.573788893461872,0.7892711436116032
pretrained,drums,0.4734314938410594,0.7479222385851293,0.5639247463907483,0.7692307692307693
pretrained,micro,0.011147297467697093,0.03886654137790537,0.08184986152419019,0.038461538461538464
pretrained,mosh_pit,0.12102043261337925,0.2234563048404138,0.3524209036201671,0.14285714285714285
pretrained,hands_raised,0.01917779546538645,0.04798950094189727,0.14342780881733624,0.12121212121212122
scratch,amp,0.0074251072849640665,0.023963465410839734,0.07465499862691387,0.14285714285714285
scratch,guitar,0.04354305035689908,0.11643585342332019,0.20666062297714544,0.13793103448275862
scratch,drums,0.0747491949478509,0.1859891136367679,0.2548283559732878,0.3076923076923077
scratch,micro,0.0006833091146144605,0.0022776970487148685,1.0,0.0
scratch,mosh_pit,0.0005583249500692394,0.0027014450403898935,1.0,0.0
scratch,hands_raised,0.0015716855848186579,0.00860371190001968,1.0,0.0
