,tp,fp,fn,precision,recall,f1,num_gt_objects,num_pred_objects,luminance_mean,luminance_norm,luminance_var,blur,entropy,density,occupied_ratio,presence_mosh_pit,presence_hands_raised
tp,1.0,0.35908815408053857,-0.2724437512961747,0.6113933974749853,0.8042979874105147,0.7901852957291594,0.750265709429674,0.8177246924870419,0.39587361794172415,0.3958736179417234,-0.08883108911244797,-0.1934448596669867,0.16388805501302509,-0.03575447168851051,-0.16339306929087083,-0.17122094995087883,-0.20860978251293105
fp,0.35908815408053857,1.0,-0.10280887395829841,-0.02433383875027156,0.39618871272551537,0.16688464131547678,0.26599130784179487,0.8308537209738416,0.2337381802507378,0.23373818025073764,0.07621125528128286,0.020914223750377058,0.20557882722754614,0.0833170136783667,0.20004596803382918,-0.15777450915761645,0.1013684044207822
fn,-0.2724437512961747,-0.10280887395829841,1.0,-0.17205848979220484,-0.44732063038529785,-0.35486263353258524,0.43172155597576645,-0.2258538575236161,-0.204682825780066,-0.204682825780066,0.056468391237768714,0.10439001330659278,0.14168241081018285,0.4973192610281225,-0.08219066633231221,-0.18250119994933453,0.2570450199598722
precision,0.6113933974749853,-0.02433383875027156,-0.17205848979220484,1.0,0.7318524975996804,0.9087873664018761,0.45493641220058023,0.3495411794064709,0.12380566733427907,0.12380566733427889,-0.04400086562152541,-0.21151101513350218,-0.056815608212091764,-0.10240495429458482,-0.22845337972130078,-0.20859318654700207,-0.19404812855116443
recall,0.8042979874105147,0.39618871272551537,-0.44732063038529785,0.7318524975996804,1.0,0.9334257157057007,0.4466379459135991,0.7239171202510956,0.3911193342351336,0.3911193342351334,0.05283318711893844,-0.11004790356725241,0.09187265812351048,-0.0799337842206939,-0.0695557969177444,-0.12494205942957311,-0.23017226441253136
f1,0.7901852957291594,0.16688464131547678,-0.35486263353258524,0.9087873664018761,0.9334257157057007,1.0,0.4969383265539176,0.5740803628168045,0.30396751558863316,0.30396751558863305,-0.013806314042669255,-0.1830085064882468,0.00652599578552584,-0.10189241289751691,-0.1816475935735831,-0.1872750312385424,-0.25113997962733886
num_gt_objects,0.750265709429674,0.26599130784179487,0.43172155597576645,0.45493641220058023,0.4466379459135991,0.4969383265539176,1.0,0.611401395478325,0.2304759875579885,0.23047598755798832,-0.04447537511981971,-0.10961927346935327,0.2509942455665799,0.3082039212965415,-0.20965168787892474,-0.2859164010787021,-0.01894219575601116
num_pred_objects,0.8177246924870419,0.8308537209738416,-0.2258538575236161,0.3495411794064709,0.7239171202510956,0.5740803628168045,0.611401395478325,1.0,0.3801999280898686,0.3801999280898683,-0.005963510342538148,-0.10244455076752917,0.22450928945516757,0.03006634513390963,0.025952553503370814,-0.19939856385950777,-0.06186713334061109
luminance_mean,0.39587361794172415,0.2337381802507378,-0.204682825780066,0.12380566733427907,0.3911193342351336,0.30396751558863316,0.2304759875579885,0.3801999280898686,1.0,1.0,0.367891691654059,-0.004974625533243473,0.5260163819007205,0.023907932438467967,-0.01461184626586978,-0.032638760208681235,0.05154389696025695
luminance_norm,0.3958736179417234,0.23373818025073764,-0.204682825780066,0.12380566733427889,0.3911193342351334,0.30396751558863305,0.23047598755798832,0.3801999280898683,1.0,1.0,0.36789169165405905,-0.004974625533243358,0.5260163819007209,0.02390793243846812,-0.014611846265869661,-0.03263876020868117,0.05154389696025696
luminance_var,-0.08883108911244797,0.07621125528128286,0.056468391237768714,-0.04400086562152541,0.05283318711893844,-0.013806314042669255,-0.04447537511981971,-0.005963510342538148,0.367891691654059,0.36789169165405905,1.0,0.38340316413351844,0.4025411011024153,0.15650338128197597,0.07012120268945123,0.22819200463734313,0.21875301272854394
blur,-0.1934448596669867,0.020914223750377058,0.10439001330659278,-0.21151101513350218,-0.11004790356725241,-0.1830085064882468,-0.10961927346935327,-0.10244455076752917,-0.004974625533243473,-0.004974625533243358,0.38340316413351844,1.0,0.12191174268473798,0.5847895972366076,0.48301761739953575,0.14439179058240106,0.11749002881054778
entropy,0.16388805501302509,0.20557882722754614,0.14168241081018285,-0.056815608212091764,0.09187265812351048,0.00652599578552584,0.2509942455665799,0.22450928945516757,0.5260163819007205,0.5260163819007209,0.4025411011024153,0.12191174268473798,1.0,0.14516232458345524,0.038713396687393264,0.07378685224539185,0.168992592802671
density,-0.03575447168851051,0.0833170136783667,0.4973192610281225,-0.10240495429458482,-0.0799337842206939,-0.10189241289751691,0.3082039212965415,0.03006634513390963,0.023907932438467967,0.02390793243846812,0.15650338128197597,0.5847895972366076,0.14516232458345524,1.0,0.30634973885326333,-0.0706811200367465,-0.029680959844799275
occupied_ratio,-0.16339306929087083,0.20004596803382918,-0.08219066633231221,-0.22845337972130078,-0.0695557969177444,-0.1816475935735831,-0.20965168787892474,0.025952553503370814,-0.01461184626586978,-0.014611846265869661,0.07012120268945123,0.48301761739953575,0.038713396687393264,0.30634973885326333,1.0,0.3281550815675826,-0.07433750507966541
presence_mosh_pit,-0.17122094995087883,-0.15777450915761645,-0.18250119994933453,-0.20859318654700207,-0.12494205942957311,-0.1872750312385424,-0.2859164010787021,-0.19939856385950777,-0.032638760208681235,-0.03263876020868117,0.22819200463734313,0.14439179058240106,0.07378685224539185,-0.0706811200367465,0.3281550815675826,1.0,-0.18144368465060573
presence_hands_raised,-0.20860978251293105,0.1013684044207822,0.2570450199598722,-0.19404812855116443,-0.23017226441253136,-0.25113997962733886,-0.01894219575601116,-0.06186713334061109,0.05154389696025695,0.05154389696025696,0.21875301272854394,0.11749002881054778,0.168992592802671,-0.029680959844799275,-0.07433750507966541,-0.18144368465060573,1.0
