,tp,fp,fn,precision,recall,f1,num_gt_objects,num_pred_objects,luminance_mean,luminance_norm,luminance_var,blur,entropy,density,occupied_ratio,presence_mosh_pit,presence_hands_raised
tp,1.0,0.6680241486414581,0.1932175390891083,0.623039245145762,0.9220709804126898,0.819917948601964,0.39431768642678333,0.8149059435197316,0.13623495884084336,0.1362349588408432,-0.050434218879954244,-0.11550908766904398,0.0944609726594313,-0.053232284728621,-0.06540635308298069,-0.07053456158585983,-0.031195248701549112
fp,0.6680241486414581,1.0,0.3311162674530126,0.15802696532937674,0.5334083717199396,0.3743125052336448,0.4526513876347105,0.9756751147669356,0.23050523547134452,0.23050523547134438,-0.0020413690316354745,-0.08500936849316224,0.18758920578018254,0.09114471306044823,-0.07768732316741431,-0.08892842141870133,-0.11345273755573373
fn,0.1932175390891083,0.3311162674530126,1.0,0.053427478323939605,0.14929886076571672,0.10804892853899206,0.9778460802370202,0.3148202119869536,0.2150391985916715,0.2150391985916714,-0.035996794567691726,-0.09072576622340317,0.24646114654953252,0.3411836493933723,-0.20893927469343643,-0.28919627646124724,-0.013118209497090968
precision,0.623039245145762,0.15802696532937674,0.053427478323939605,1.0,0.8611053171808437,0.9519222069843085,0.18296407991825175,0.3066292448944417,-0.07451180305581702,-0.07451180305581702,-0.0027595856335936295,-0.11563159177802826,0.05071390936599371,-0.08223841683732752,-0.10092409897896179,-0.06927926118772876,0.08484941983346916
recall,0.9220709804126898,0.5334083717199396,0.14929886076571672,0.8611053171808437,1.0,0.9741840044259996,0.33655659282855116,0.6870991316156673,0.05220665993730072,0.05220665993730059,-0.0331764326726425,-0.12995272159916554,0.08813386971867894,-0.0746332174678435,-0.09284233734292308,-0.07875067676653646,0.03810350122999796
f1,0.819917948601964,0.3743125052336448,0.10804892853899206,0.9519222069843085,0.9741840044259996,1.0,0.27612702672720374,0.5330890123504032,-0.003571291907893958,-0.0035712919078940324,-0.023380141171968405,-0.12709127218157057,0.07196305824520978,-0.08027487572893956,-0.09855263515577237,-0.0767072942224999,0.0679951282956344
num_gt_objects,0.39431768642678333,0.4526513876347105,0.9778460802370202,0.18296407991825175,0.33655659282855116,0.27612702672720374,1.0,0.4687246818440204,0.2304759875579885,0.23047598755798832,-0.04447537511981971,-0.10961927346935327,0.2509942455665799,0.3082039212965415,-0.20965168787892474,-0.2859164010787021,-0.01894219575601116
num_pred_objects,0.8149059435197316,0.9756751147669356,0.3148202119869536,0.3066292448944417,0.6870991316156673,0.5330890123504032,0.4687246818440204,1.0,0.21966967843877833,0.21966967843877808,-0.016447759739069402,-0.10024050717869191,0.17393686635754466,0.05530843455947756,-0.07977740445644114,-0.09004359378336646,-0.09755576472386346
luminance_mean,0.13623495884084336,0.23050523547134452,0.2150391985916715,-0.07451180305581702,0.05220665993730072,-0.003571291907893958,0.2304759875579885,0.21966967843877833,1.0,1.0,0.367891691654059,-0.004974625533243473,0.5260163819007205,0.023907932438467967,-0.01461184626586978,-0.032638760208681235,0.05154389696025695
luminance_norm,0.1362349588408432,0.23050523547134438,0.2150391985916714,-0.07451180305581702,0.05220665993730059,-0.0035712919078940324,0.23047598755798832,0.21966967843877808,1.0,1.0,0.36789169165405905,-0.004974625533243358,0.5260163819007209,0.02390793243846812,-0.014611846265869661,-0.03263876020868117,0.05154389696025696
luminance_var,-0.050434218879954244,-0.0020413690316354745,-0.035996794567691726,-0.0027595856335936295,-0.0331764326726425,-0.023380141171968405,-0.04447537511981971,-0.016447759739069402,0.367891691654059,0.36789169165405905,1.0,0.38340316413351844,0.4025411011024153,0.15650338128197597,0.07012120268945123,0.22819200463734313,0.21875301272854394
blur,-0.11550908766904398,-0.08500936849316224,-0.09072576622340317,-0.11563159177802826,-0.12995272159916554,-0.12709127218157057,-0.10961927346935327,-0.10024050717869191,-0.004974625533243473,-0.004974625533243358,0.38340316413351844,1.0,0.12191174268473798,0.5847895972366076,0.48301761739953575,0.14439179058240106,0.11749002881054778
entropy,0.0944609726594313,0.18758920578018254,0.24646114654953252,0.05071390936599371,0.08813386971867894,0.07196305824520978,0.2509942455665799,0.17393686635754466,0.5260163819007205,0.5260163819007209,0.4025411011024153,0.12191174268473798,1.0,0.14516232458345524,0.038713396687393264,0.07378685224539185,0.168992592802671
density,-0.053232284728621,0.09114471306044823,0.3411836493933723,-0.08223841683732752,-0.0746332174678435,-0.08027487572893956,0.3082039212965415,0.05530843455947756,0.023907932438467967,0.02390793243846812,0.15650338128197597,0.5847895972366076,0.14516232458345524,1.0,0.30634973885326333,-0.0706811200367465,-0.029680959844799275
occupied_ratio,-0.06540635308298069,-0.07768732316741431,-0.20893927469343643,-0.10092409897896179,-0.09284233734292308,-0.09855263515577237,-0.20965168787892474,-0.07977740445644114,-0.01461184626586978,-0.014611846265869661,0.07012120268945123,0.48301761739953575,0.038713396687393264,0.30634973885326333,1.0,0.3281550815675826,-0.07433750507966541
presence_mosh_pit,-0.07053456158585983,-0.08892842141870133,-0.28919627646124724,-0.06927926118772876,-0.07875067676653646,-0.0767072942224999,-0.2859164010787021,-0.09004359378336646,-0.032638760208681235,-0.03263876020868117,0.22819200463734313,0.14439179058240106,0.07378685224539185,-0.0706811200367465,0.3281550815675826,1.0,-0.18144368465060573
presence_hands_raised,-0.031195248701549112,-0.11345273755573373,-0.013118209497090968,0.08484941983346916,0.03810350122999796,0.0679951282956344,-0.01894219575601116,-0.09755576472386346,0.05154389696025695,0.05154389696025696,0.21875301272854394,0.11749002881054778,0.168992592802671,-0.029680959844799275,-0.07433750507966541,-0.18144368465060573,1.0
