,tp,fp,fn,precision,recall,f1,num_gt_objects,num_pred_objects,luminance_mean,luminance_norm,luminance_var,blur,entropy,density,occupied_ratio,presence_mosh_pit,presence_hands_raised
tp,1.0,0.336644488150165,0.21990226338940513,0.9989727084649395,0.9997837604040024,0.9989187084806591,0.3028954534692932,0.6218900080042918,0.04397917685040249,0.04397917685040249,0.04867724915489653,-0.13337305264424734,0.09435295211525521,-0.051063037482176235,-0.00013050200845816766,-0.08203436377491334,0.010465746490749696
fp,0.336644488150165,1.0,0.2801844788088147,0.3187129789348639,0.3305080469133774,0.31869575074063333,0.2881783883227804,0.8945496403522322,0.24016699105169909,0.24016699105169909,0.03792110385026828,-0.07191387279875437,0.2512867132333567,0.004500301693414269,-0.02854378827827211,-0.1194859083148755,-0.09451109074538523
fn,0.21990226338940513,0.2801844788088147,1.0,0.21377798336468468,0.21723900447226868,0.21318014825418602,0.9951232607882932,0.28488511113550985,0.19770236306933164,0.19770236306933164,0.013625261509137199,-0.3173542933659493,0.2844613517999496,0.03960372501225376,-0.17115941022263695,-0.3763548074038212,0.05499835809101923
precision,0.9989727084649395,0.3187129789348639,0.21377798336468468,1.0,0.9992972607713656,0.9999459444849466,0.29858849994126413,0.6192138532238498,0.032750691333390404,0.032750691333390404,0.05206185594431383,-0.13430827999669265,0.089248895904538,-0.05433087883266352,-0.005175740064639387,-0.08202105838778911,0.0167424784344258
recall,0.9997837604040024,0.3305080469133774,0.21723900447226868,0.9992972607713656,1.0,0.9993513513513513,0.3011629602615599,0.6208971476068326,0.04049036577745921,0.04049036577745921,0.047883880473665506,-0.13325722958338884,0.09085324823749977,-0.05241514107910781,-0.001174264098809236,-0.08201662469723273,0.01464887673473941
f1,0.9989187084806591,0.31869575074063333,0.21318014825418602,0.9999459444849466,0.9993513513513513,1.0,0.2981443473006018,0.6191803813000856,0.03248797340038886,0.03248797340038886,0.05171111161052524,-0.13412705484176604,0.08885265014323218,-0.0547456800700413,-0.005523390390695294,-0.08201662469723273,0.018834270087522097
num_gt_objects,0.3028954534692932,0.2881783883227804,0.9951232607882932,0.29858849994126413,0.3011629602615599,0.2981443473006018,1.0,0.3328679071891838,0.18737554514923704,0.18737554514923704,0.02011867431956405,-0.322333787476691,0.28169769033753556,0.03275675832919326,-0.17167935419361322,-0.3759836330384977,0.06279327631241961
num_pred_objects,0.6218900080042918,0.8945496403522322,0.28488511113550985,0.6192138532238498,0.6208971476068326,0.6191803813000856,0.3328679071891838,1.0,0.15579802314444613,0.15579802314444613,0.06768321951158798,-0.11343845719161556,0.21709277550825667,-0.03331406759592988,-0.05669045171676374,-0.13566992138835832,-0.03877090943191478
luminance_mean,0.04397917685040249,0.24016699105169909,0.19770236306933164,0.032750691333390404,0.04049036577745921,0.03248797340038886,0.18737554514923704,0.15579802314444613,1.0,1.0,0.4063861429446243,0.08266993263931414,0.6404863966407138,0.1765093660313374,0.26967019508354473,0.008248702735732498,0.07071789459855501
luminance_norm,0.04397917685040249,0.24016699105169909,0.19770236306933164,0.032750691333390404,0.04049036577745921,0.03248797340038886,0.18737554514923704,0.15579802314444613,1.0,1.0,0.4063861429446243,0.08266993263931414,0.6404863966407138,0.1765093660313374,0.26967019508354473,0.008248702735732498,0.07071789459855501
luminance_var,0.04867724915489653,0.03792110385026828,0.013625261509137199,0.05206185594431383,0.047883880473665506,0.05171111161052524,0.02011867431956405,0.06768321951158798,0.4063861429446243,0.4063861429446243,1.0,0.35736156066835795,0.6143469512728545,0.11581547598788997,0.03490508266993264,0.15672535197891743,0.2542476686757573
blur,-0.13337305264424734,-0.07191387279875437,-0.3173542933659493,-0.13430827999669265,-0.13325722958338884,-0.13412705484176604,-0.322333787476691,-0.11343845719161556,0.08266993263931414,0.08266993263931414,0.35736156066835795,1.0,0.11878225877001138,0.738728314839512,0.668935351237862,0.21093111281373098,-0.011786315766425836
entropy,0.09435295211525521,0.2512867132333567,0.2844613517999496,0.089248895904538,0.09085324823749977,0.08885265014323218,0.28169769033753556,0.21709277550825667,0.6404863966407138,0.6404863966407138,0.6143469512728545,0.11878225877001138,1.0,0.09487068851734441,0.16021345464088882,0.09073573009305747,0.2020511274244429
density,-0.051063037482176235,0.004500301693414269,0.03960372501225376,-0.05433087883266352,-0.05241514107910781,-0.0547456800700413,0.03275675832919326,-0.03331406759592988,0.1765093660313374,0.1765093660313374,0.11581547598788997,0.738728314839512,0.09487068851734441,1.0,0.7992983759029816,0.004765693291901204,-0.21109609611337365
occupied_ratio,-0.00013050200845816766,-0.02854378827827211,-0.17115941022263695,-0.005175740064639387,-0.001174264098809236,-0.005523390390695294,-0.17167935419361322,-0.05669045171676374,0.26967019508354473,0.26967019508354473,0.03490508266993264,0.668935351237862,0.16021345464088882,0.7992983759029816,1.0,0.30991554564252094,-0.08923924794579562
presence_mosh_pit,-0.08203436377491334,-0.1194859083148755,-0.3763548074038212,-0.08202105838778911,-0.08201662469723273,-0.08201662469723273,-0.3759836330384977,-0.13566992138835832,0.008248702735732498,0.008248702735732498,0.15672535197891743,0.21093111281373098,0.09073573009305747,0.004765693291901204,0.30991554564252094,1.0,-0.18144368465060579
presence_hands_raised,0.010465746490749696,-0.09451109074538523,0.05499835809101923,0.0167424784344258,0.01464887673473941,0.018834270087522097,0.06279327631241961,-0.03877090943191478,0.07071789459855501,0.07071789459855501,0.2542476686757573,-0.011786315766425836,0.2020511274244429,-0.21109609611337365,-0.08923924794579562,-0.18144368465060579,1.0
